order_id,customer_id,postal_code,product_id,sales,quantity,discount,profit,category,subcategory,product_name,order_date,ship_date,ship_mode,customer_name,segment,country,city,state,region,profit_margin
CA-2019-152156,CG-12520,42420,FUR-BO-10001798,$261.96,2,0%,$41.91,Furniture,Bookcases,Bush Somerset Collection Bookcase,11/8/2019,11/11/2019,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,South,16%
CA-2019-152156,CG-12520,42420,FUR-CH-10000454,$731.94,3,0%,$219.58,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",11/8/2019,11/11/2019,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,South,30%
CA-2019-138688,DV-13045,90036,OFF-LA-10000240,$14.62,2,0%,$6.87,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,6/12/2019,6/16/2019,Second Class,Darrin Van Huff,Corporate,United States,Los Angeles,California,West,47%
US-2018-108966,SO-20335,33311,FUR-TA-10000577,$957.58,5,45%,-$383.03,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,10/11/2018,10/18/2018,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,-40%
US-2018-108966,SO-20335,33311,OFF-ST-10000760,$22.37,2,20%,$2.52,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,10/11/2018,10/18/2018,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,11%
CA-2017-115812,BH-11710,90032,FUR-FU-10001487,$48.86,7,0%,$14.17,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",6/9/2017,6/14/2017,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,29%
CA-2017-115812,BH-11710,90032,OFF-AR-10002833,$7.28,4,0%,$1.97,Office Supplies,Art,Newell 322,6/9/2017,6/14/2017,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,27%
CA-2017-115812,BH-11710,90032,TEC-PH-10002275,$907.15,6,20%,$90.72,Technology,Phones,Mitel 5320 IP Phone VoIP phone,6/9/2017,6/14/2017,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,10%
CA-2017-115812,BH-11710,90032,OFF-BI-10003910,$18.50,3,20%,$5.78,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,6/9/2017,6/14/2017,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,31%
CA-2017-115812,BH-11710,90032,OFF-AP-10002892,$114.90,5,0%,$34.47,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,6/9/2017,6/14/2017,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,30%
